LogID,UserID,Action,Timestamp
14175,2601,Symptom_Check,2025-01-01 00:08:00
15318,3444,Lab_View,2025-01-01 00:14:00
3710,1918,Wellness_Track,2025-01-01 00:17:00
7744,3158,Logout,2025-01-01 00:25:00
17142,4595,Symptom_Check,2025-01-01 00:47:00
42342,2791,Symptom_Check,2025-01-01 00:55:00
3608,116,Login,2025-01-01 01:07:00
4113,487,Login,2025-01-01 01:09:00
42710,3559,Symptom_Check,2025-01-01 01:11:00
10274,4251,Teleconsultation,2025-01-01 01:15:00
28676,3017,Teleconsultation,2025-01-01 01:18:00
5671,924,Wellness_Track,2025-01-01 01:34:00
11217,4332,Symptom_Check,2025-01-01 01:38:00
26817,4902,Wellness_Track,2025-01-01 02:02:00
24513,2476,Symptom_Check,2025-01-01 02:05:00
14629,4280,Login,2025-01-01 02:16:00
43233,1074,Symptom_Check,2025-01-01 02:17:00
8957,4716,Logout,2025-01-01 02:28:00
7404,2399,Lab_View,2025-01-01 02:30:00
3102,3303,Prescription_View,2025-01-01 02:37:00
42917,1397,Prescription_View,2025-01-01 02:39:00
35980,1290,Login,2025-01-01 02:43:00
48049,1312,Wellness_Track,2025-01-01 02:48:00
32753,2192,Teleconsultation,2025-01-01 02:49:00
34295,212,Lab_View,2025-01-01 02:59:00
16579,1879,Lab_View,2025-01-01 03:07:00
47919,2283,Login,2025-01-01 03:11:00
38607,1213,Lab_View,2025-01-01 03:13:00
15414,605,Wellness_Track,2025-01-01 03:14:00
44965,2505,Prescription_View,2025-01-01 03:19:00
36659,4442,Symptom_Check,2025-01-01 03:19:00
27936,2977,Login,2025-01-01 03:23:00
22479,3847,Wellness_Track,2025-01-01 03:25:00
17042,3478,Login,2025-01-01 03:29:00
45553,4449,Symptom_Check,2025-01-01 03:30:00
28140,2690,Login,2025-01-01 03:32:00
10794,1139,Login,2025-01-01 03:47:00
26164,4478,Symptom_Check,2025-01-01 03:53:00
4002,643,Symptom_Check,2025-01-01 03:56:00
27158,1780,Symptom_Check,2025-01-01 04:01:00
39801,4944,Logout,2025-01-01 04:05:00
7343,56,Symptom_Check,2025-01-01 04:09:00
38119,329,Wellness_Track,2025-01-01 04:10:00
44177,4261,Wellness_Track,2025-01-01 04:12:00
38679,82,Prescription_View,2025-01-01 04:13:00
2704,4358,Symptom_Check,2025-01-01 04:18:00
17558,621,Login,2025-01-01 04:26:00
18200,4260,Wellness_Track,2025-01-01 04:28:00
19444,3007,Prescription_View,2025-01-01 04:40:00
45879,4416,Login,2025-01-01 04:41:00
30798,4914,Login,2025-01-01 04:52:00
21432,419,Login,2025-01-01 04:52:00
12928,4698,Lab_View,2025-01-01 04:53:00
26701,1316,Login,2025-01-01 05:10:00
32392,4319,Login,2025-01-01 05:11:00
49585,117,Teleconsultation,2025-01-01 05:16:00
36170,4473,Wellness_Track,2025-01-01 05:30:00
4047,2102,Symptom_Check,2025-01-01 05:41:00
1072,32,Logout,2025-01-01 05:46:00
25957,1621,Wellness_Track,2025-01-01 05:47:00
18828,187,Wellness_Track,2025-01-01 05:52:00
19978,4130,Lab_View,2025-01-01 06:08:00
12784,1788,Lab_View,2025-01-01 06:08:00
20139,1980,Symptom_Check,2025-01-01 06:13:00
49911,3271,Login,2025-01-01 06:14:00
47337,2017,Prescription_View,2025-01-01 06:17:00
42261,1751,Lab_View,2025-01-01 06:23:00
26996,4189,Login,2025-01-01 06:27:00
5000,831,Wellness_Track,2025-01-01 06:33:00
35985,886,Login,2025-01-01 06:35:00
27090,3102,Logout,2025-01-01 06:38:00
46177,1692,Login,2025-01-01 06:47:00
10928,3535,Lab_View,2025-01-01 06:50:00
43746,4947,Lab_View,2025-01-01 06:50:00
2220,3280,Login,2025-01-01 07:09:00
47771,3732,Login,2025-01-01 07:19:00
13737,2608,Login,2025-01-01 07:20:00
41700,2895,Symptom_Check,2025-01-01 07:29:00
12704,3039,Wellness_Track,2025-01-01 07:36:00
39855,2442,Lab_View,2025-01-01 07:42:00
39704,3833,Lab_View,2025-01-01 07:48:00
4805,2040,Symptom_Check,2025-01-01 07:55:00
48204,3431,Login,2025-01-01 08:04:00
19927,4565,Teleconsultation,2025-01-01 08:27:00
36586,1102,Symptom_Check,2025-01-01 08:45:00
432,416,Login,2025-01-01 08:49:00
18844,2951,Symptom_Check,2025-01-01 08:51:00
30303,737,Login,2025-01-01 08:53:00
33067,3070,Lab_View,2025-01-01 08:56:00
25461,4872,Lab_View,2025-01-01 09:05:00
2513,4282,Symptom_Check,2025-01-01 09:11:00
26,1480,Wellness_Track,2025-01-01 09:15:00
29181,1376,Prescription_View,2025-01-01 09:16:00
15253,4119,Lab_View,2025-01-01 09:18:00
45357,357,Login,2025-01-01 09:36:00
6887,2083,Login,2025-01-01 09:40:00
45792,3768,Symptom_Check,2025-01-01 09:46:00
25537,4343,Prescription_View,2025-01-01 09:47:00
43005,1727,Symptom_Check,2025-01-01 09:47:00
696,1211,Lab_View,2025-01-01 09:51:00
48149,4792,Wellness_Track,2025-01-01 09:52:00
46158,460,Wellness_Track,2025-01-01 09:54:00
14796,3660,Login,2025-01-01 09:58:00
9052,1884,Prescription_View,2025-01-01 10:17:00
40507,1717,Login,2025-01-01 10:26:00
24187,4178,Login,2025-01-01 10:40:00
2579,1538,Login,2025-01-01 10:43:00
21272,1828,Logout,2025-01-01 11:10:00
39563,3373,Teleconsultation,2025-01-01 11:18:00
38551,2579,Teleconsultation,2025-01-01 11:20:00
2212,4313,Login,2025-01-01 11:25:00
36630,3235,Login,2025-01-01 11:25:00
9005,3223,Login,2025-01-01 11:33:00
34176,4,Login,2025-01-01 11:42:00
291,88,Wellness_Track,2025-01-01 12:05:00
33035,489,Symptom_Check,2025-01-01 12:08:00
5441,3424,Login,2025-01-01 12:16:00
8159,1400,Symptom_Check,2025-01-01 12:18:00
10044,2945,Login,2025-01-01 12:20:00
49525,4651,Teleconsultation,2025-01-01 12:24:00
46744,2132,Logout,2025-01-01 12:25:00
6653,1042,Symptom_Check,2025-01-01 12:34:00
42526,3220,Teleconsultation,2025-01-01 12:37:00
1598,4214,Logout,2025-01-01 12:42:00
15092,4247,Login,2025-01-01 12:49:00
34128,1715,Logout,2025-01-01 12:50:00
22368,2305,Symptom_Check,2025-01-01 12:51:00
29313,4860,Symptom_Check,2025-01-01 13:01:00
13755,3066,Wellness_Track,2025-01-01 13:03:00
43567,3206,Lab_View,2025-01-01 13:22:00
6474,152,Prescription_View,2025-01-01 13:25:00
48502,1327,Wellness_Track,2025-01-01 13:26:00
14897,3827,Symptom_Check,2025-01-01 13:27:00
31800,4339,Symptom_Check,2025-01-01 13:30:00
46168,4935,Lab_View,2025-01-01 13:40:00
4581,3140,Prescription_View,2025-01-01 13:42:00
48892,3791,Login,2025-01-01 13:44:00
39781,2787,Lab_View,2025-01-01 13:45:00
47847,952,Lab_View,2025-01-01 13:47:00
1338,4864,Symptom_Check,2025-01-01 13:48:00
39364,214,Teleconsultation,2025-01-01 13:49:00
31332,1303,Login,2025-01-01 13:59:00
31048,1621,Login,2025-01-01 14:02:00
46668,362,Prescription_View,2025-01-01 14:05:00
27126,2286,Login,2025-01-01 14:08:00
40965,4222,Lab_View,2025-01-01 14:13:00
1645,1765,Login,2025-01-01 14:15:00
1056,1071,Symptom_Check,2025-01-01 14:24:00
39381,1490,Lab_View,2025-01-01 14:25:00
18470,1144,Wellness_Track,2025-01-01 14:32:00
22925,416,Wellness_Track,2025-01-01 14:41:00
929,2687,Teleconsultation,2025-01-01 14:48:00
49522,219,Teleconsultation,2025-01-01 14:53:00
14506,2205,Teleconsultation,2025-01-01 14:57:00
32080,3382,Lab_View,2025-01-01 15:07:00
30472,927,Lab_View,2025-01-01 15:13:00
21553,1046,Lab_View,2025-01-01 15:14:00
42196,4709,Login,2025-01-01 15:14:00
2359,3093,Login,2025-01-01 15:16:00
6818,2703,Login,2025-01-01 15:30:00
26071,144,Lab_View,2025-01-01 15:30:00
30014,435,Logout,2025-01-01 15:38:00
37739,3186,Login,2025-01-01 15:52:00
33105,2254,Wellness_Track,2025-01-01 15:53:00
11592,4746,Login,2025-01-01 15:56:00
30279,1884,Login,2025-01-01 16:18:00
49009,217,Lab_View,2025-01-01 16:18:00
24990,2326,Teleconsultation,2025-01-01 16:24:00
19851,3048,Teleconsultation,2025-01-01 16:33:00
28322,3411,Wellness_Track,2025-01-01 16:58:00
20602,1486,Login,2025-01-01 17:09:00
31528,3757,Wellness_Track,2025-01-01 17:13:00
14237,1151,Wellness_Track,2025-01-01 17:24:00
4123,140,Symptom_Check,2025-01-01 17:30:00
45705,1442,Wellness_Track,2025-01-01 17:31:00
24418,2368,Symptom_Check,2025-01-01 17:42:00
19434,3665,Symptom_Check,2025-01-01 17:52:00
26056,1931,Symptom_Check,2025-01-01 17:53:00
31868,3403,Logout,2025-01-01 18:07:00
17495,518,Wellness_Track,2025-01-01 18:12:00
943,240,Login,2025-01-01 18:24:00
31327,1471,Logout,2025-01-01 18:24:00
19256,2377,Lab_View,2025-01-01 18:24:00
10101,1897,Teleconsultation,2025-01-01 18:35:00
12986,3683,Wellness_Track,2025-01-01 18:37:00
15919,2131,Lab_View,2025-01-01 18:38:00
40698,4910,Wellness_Track,2025-01-01 18:41:00
17253,3983,Login,2025-01-01 18:52:00
43670,2716,Login,2025-01-01 18:58:00
20275,4933,Login,2025-01-01 19:00:00
49455,4508,Wellness_Track,2025-01-01 19:04:00
39087,1208,Teleconsultation,2025-01-01 19:12:00
29617,3242,Wellness_Track,2025-01-01 19:12:00
40401,3139,Prescription_View,2025-01-01 19:21:00
35045,2008,Login,2025-01-01 19:22:00
29580,4689,Login,2025-01-01 19:28:00
20900,2627,Lab_View,2025-01-01 19:32:00
28538,3546,Lab_View,2025-01-01 19:35:00
3542,1042,Symptom_Check,2025-01-01 19:47:00
38002,2608,Lab_View,2025-01-01 19:56:00
9544,1118,Teleconsultation,2025-01-01 20:00:00
16479,1606,Login,2025-01-01 20:03:00
32,4710,Lab_View,2025-01-01 20:12:00
37129,4880,Wellness_Track,2025-01-01 20:14:00
22847,3414,Teleconsultation,2025-01-01 20:17:00
